run_accession	sample_title
SRR11072717	RKO_input
SRR11072722	HCT116_hypoxia_replicate_1_HIF1A_ChIP
SRR11072726	RKO_hypoxia_replicate_1_HIF1A_ChIP
SRR11072731	A549_hypoxia_replicate_2_HIF1A_ChIP
SRR11072735	H460_hypoxia_replicate_2_HIF1A_ChIP
SRR11072716	HCT116_input
SRR11072718	A549_input
SRR11072723	HCT116_hypoxia_replicate_2_HIF1A_ChIP
SRR11072724	RKO_normoxia_replicate_1_HIF1A_ChIP
SRR11072727	RKO_hypoxia_replicate_2_HIF1A_ChIP
SRR11072728	A549_normoxia_replicate_1_HIF1A_ChIP
SRR11072730	A549_hypoxia_replicate_1_HIF1A_ChIP
SRR11072732	H460_normoxia_replicate_1_HIF1A_ChIP
SRR11072719	H460_input
SRR11072720	HCT116_normoxia_replicate_1_HIF1A_ChIP
SRR11072721	HCT116_normoxia_replicate_2_HIF1A_ChIP
SRR11072725	RKO_normoxia_replicate_2_HIF1A_ChIP
SRR11072729	A549_normoxia_replicate_2_HIF1A_ChIP
SRR11072733	H460_normoxia_replicate_2_HIF1A_ChIP
SRR11072734	H460_hypoxia_replicate_1_HIF1A_ChIP
